prg. name,prg. version,loc,cus,classes,all methods, all constructors, pub. + prot. methods, pub. + prot. constr, id
anewjkuapp	3.0.0	22478	156	205	1326	140	1048	112	anewjkuapp-003.000.000.7zz
qBittorrent	3.0.0	16682	59	75	968	47	862	29	qBittorrent-003.000.000.7zz
osmeditor4android	3.0.0	144162	663	734	5971	530	4614	381	osmeditor4android-003.000.000.7zz
LTECleanerFOSS	3.0.0	846	7	8	51	1	27	0	LTECleanerFOSS-003.000.000.7zz
yashlang	2.0.0	5965	33	39	382	20	310	17	yashlang-002.000.000.7zz
essential	3.0.0	4766	52	45	173	33	151	23	essential-003.000.000.7zz
mosmetro	3.0.0	7583	47	67	429	53	377	49	mosmetro-003.000.000.7zz
SuntimesCalendars	2.0.0	1840	9	11	78	5	72	5	SuntimesCalendars-002.000.000.7zz
TowerCollector	2.0.0	15652	197	191	1123	76	800	68	TowerCollector-002.000.000.7zz
ultrasonic	3.0.0	24656	108	156	1452	105	1122	95	ultrasonic-003.000.000.7zz
memetastic	2.0.0	7330	39	64	509	40	456	37	memetastic-002.000.000.7zz
NewPipe	3.0.0	55726	289	386	3222	297	2326	172	NewPipe-003.000.000.7zz
shorty	2.0.0	435	3	3	8	0	5	0	shorty-002.000.000.7zz
AnLinux	3.0.0	4007	13	13	193	0	184	0	AnLinux-003.000.000.7zz
criticalmaps	3.0.0	5449	73	81	331	47	229	39	criticalmaps-003.000.000.7zz
Klooni1010	2.0.0	2223	19	19	124	15	90	8	Klooni1010-002.000.000.7zz
speedtest	2.0.0	2644	19	21	278	24	254	24	speedtest-002.000.000.7zz
SumatoraDictionary	3.0.0	6501	57	65	285	44	199	34	SumatoraDictionary-003.000.000.7zz
UUID0xFD6FTracer	2.0.0	1193	6	8	61	2	46	2	UUID0xFD6FTracer-002.000.000.7zz
oandbackupx	3.0.0	null
