program	version1	methods1	constraints1	version2	methods2	constraints2
activation	1.1	243	0	1.1.1	241	0
akka-actor_2.11	2.3.2	108	0	2.4.9-RC2	127	2
android	1.5_r3	9020	0	4.1.1.4	15743	0
annotations	3.0.1	10	4	3.0.1u2	10	4
ant	1.5.3-1	4950	15	1.9.7	9360	64
arquillian-junit-container	1.0.0.Beta1	7	0	1.1.11.Final	8	0
asm	2.2.1	277	1	6.0_ALPHA	1995	117
aspectjrt	1.6.4	626	5	1.8.9	634	5
aspectjweaver	1.6.4	8560	124	1.8.9	9277	167
assertj-core	1.0.0	1915	46	3.5.2	4315	65
async-http-client	1.0.0	472	30	1.9.39	2861	125
avro	1.4.0	1737	67	1.8.1	2044	92
camel-core	1.0.0	1375	28	2.17.3	16940	350
cdi-api	1.0-CR1	204	0	2.0.Alpha4a	415	11
cglib	2.1_2	1141	55	3.2.4	1201	57
cglib-nodep	2.1_3	1123	55	3.1	2292	57
com.liferay.portal.kernel	1.0.0	82614	324	2.3.0	82724	324
commons-beanutils	1.6.1	514	88	1.9.2	1243	158
commons-cli	1.0	148	2	1.3.1	251	6
commons-codec	1.3	198	0	1.10	636	30
commons-collections	2.1	1365	101	3.2.2	3896	408
commons-compress	1.0	604	23	1.12	1784	57
commons-configuration	1.2RC1	869	20	1.10	2068	68
commons-dbcp	1.2.1	914	15	1.4	1342	44
commons-digester	1.4.1	409	1	2.1	701	14
commons-fileupload	1.0	115	1	1.3.2	268	4
commons-httpclient	2.0	1187	131	3.1	1780	268
commons-io	1.0	269	31	2.5	1187	122
commons-lang	2.0	1251	126	2.6	2289	222
commons-lang3	3.0	2196	224	3.4	2756	318
commons-logging	1.0.4	254	1	1.2	302	5
commons-math3	3.0	5506	99	3.6.1	8808	104
commons-pool	1.1	224	17	1.6	638	50
config	0.3.1	867	1	1.3.0	1289	3
cxf-rt-frontend-jaxws	2.0.6	1015	2	3.1.7	1017	46
dom4j	1.4	2399	19	1.6.1	2711	27
easymock	2.0	432	2	3.4	4823	186
easymockclassextension	2.2	61	0	3.2	23	0
elasticsearch	0.6.0	14195	564	5.0.0-alpha4	31703	2004
fest-assert	1.0	664	5	1.4	495	12
freemarker	2.3.9	2910	65	2.3.23	4579	79
geronimo-servlet_3.0_spec	1.0	542	9	1.0	542	0
groovy	1.1-rc-1	8132	160	2.4.7	12896	196
groovy-all	1.1-rc-1	8132	160	2.4.7	16760	273
gson	1.1	534	23	2.7	757	57
guava	10.0-rc1	6985	1611	19.0	10368	2082
guice	3.0-rc2	2188	100	4.1.0	1783	138
gwt-servlet	2.0.4	11646	525	2.8.0-rc1	41493	740
gwt-user	2.0.4	11646	525	2.8.0-rc1	41493	740
h2	1.2.122	7062	12	1.4.192	9383	55
hadoop-common	0.22.0	5177	228	2.7.2	14118	684
hamcrest-all	1.0	319	6	1.3	655	9
hamcrest-core	1.2	189	4	1.3	252	4
hamcrest-library	1.2	280	3	1.3	296	3
hibernate-core	3.3.0.CR1	12952	179	5.2.2.Final	30300	539
hibernate-entitymanager	3.3.1.ga	368	19	5.1.0.Final	2329	150
hibernate-jpa-2.0-api	1.0.0-CR-1	547	0	1.0.1.Final	547	0
hibernate-validator	3.1.0.CR1	113	2	5.3.0.Alpha1	2347	43
hsqldb	1.8.0.1	4815	37	2.3.4	11136	284
httpclient	4.0-beta1	1154	298	4.5.2	2772	26
httpcore	4.0-beta2	923	252	4.4.5	1584	46
httpmime	4.0-beta1	64	9	4.5.2	171	1
jackson-annotations	2.0.0-RC1	37	0	2.8.1	163	2
