['AndroidXNonNull', 10938, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXNullable', 4057, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXColorInt', 246, 'connectbot-connectbot', '1.0.0']
['AndroidXMainThread', 181, 'deltachat-deltachat_android', '1.0.0']
['AndroidXStringRes', 177, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXWorkerThread', 166, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXVisibleForTesting', 166, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXRequiresApi', 119, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXDrawableRes', 118, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXAnyThread', 104, 'M66B-FairEmail', '1.0.0']
['AndroidXUiThread', 79, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXRestrictTo', 61, 'k9mail-k_9', '1.0.0']
['AndroidXCheckResult', 57, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXLayoutRes', 50, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXIntDef', 44, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXCallSuper', 40, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['AndroidXIdRes', 35, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXPx', 31, 'stefan_niedermann-nextcloud_deck', '1.0.0']
['AndroidXAttrRes', 25, 'deltachat-deltachat_android', '1.0.0']
['AndroidXColorRes', 23, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['AndroidXStyleRes', 22, 'connectbot-connectbot', '1.0.0']
['AndroidXIntRange', 21, 'M66B-FairEmail', '1.0.0']
['AndroidXFloatRange', 15, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['AndroidXKeep', 14, 'devgianlu-Aria2App', '1.0.0']
['AndroidXDimenRes', 10, 'nikclayton-android_squeezer', '1.0.0']
['AndroidXGuardedBy', 8, 'k9mail-k_9', '1.0.0']
['AndroidXMenuRes', 8, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXArrayRes', 7, 'beemdevelopment-Aegis', '1.0.0']
['AndroidXStringDef', 4, 'austinhuang0131-instagrabber', '1.0.0']
['AndroidXBoolRes', 3, 'snikket_im-snikket_android', '1.0.0']
['AndroidXRequiresPermission', 2, 'fossasia-open_event_organizer_android', '1.0.0']
['AndroidXIntegerRes', 1, 'snikket_im-snikket_android', '1.0.0']
['AndroidXRawRes', 1, 'mozilla_mobile-focus_android', '1.0.0']
['AndroidXAnimRes', 1, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['AndroidXNonNull', 1, 'ankidroid-Anki_Android', '1.0.0']
