['Build.VERSION_CODES.LOLLIPOP', 179, '1.0.0']
['Build.VERSION_CODES.HONEYCOMB', 129, '2.0.0']
['Build.VERSION_CODES.M', 89, '2.0.0']
['21', 74, '1.0.0']
['Build.VERSION_CODES.KITKAT', 68, '1.0.0']
['Build.VERSION_CODES.N', 53, '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN', 50, '1.0.0']
['Build.VERSION_CODES.O', 44, '1.0.0']
['Build.VERSION_CODES.N_MR1', 33, '1.0.0']
['11', 28, '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR1', 28, '1.0.0']
['23', 27, '1.0.0']
['9', 26, '1.0.0']
['19', 25, '1.0.0']
['14', 19, '1.0.0']
['16', 18, '1.0.0']
['VERSION_CODES.HONEYCOMB', 16, '1.0.0']
['Build.VERSION_CODES.ICE_CREAM_SANDWICH', 15, '2.0.0']
['Build.VERSION_CODES.GINGERBREAD', 14, '2.0.0']
['24', 12, '1.0.0']
['8', 11, '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR2', 10, '2.0.0']
['17', 10, '1.0.0']
['VERSION_CODES.HONEYCOMB_MR1', 8, '1.0.0']
['Build.VERSION_CODES.FROYO', 7, '2.0.0']
['26', 7, '1.0.0']
['Build.VERSION_CODES.P', 6, '2.0.0']
['android.os.Build.VERSION_CODES.M', 5, '1.0.0']
['VERSION_CODES.LOLLIPOP', 5, '1.0.0']
['Build.VERSION_CODES.GINGERBREAD_MR1', 5, '1.0.0']
['12', 5, '1.0.0']
['Build.VERSION_CODES.ECLAIR', 5, '1.0.0']
['3', 5, '1.0.0']
['android.os.Build.VERSION_CODES.JELLY_BEAN_MR1', 4, '1.0.0']
['Build.VERSION_CODES.HONEYCOMB_MR1', 4, '1.0.0']
['VERSION_CODES.KITKAT', 4, '1.0.0']
['18', 4, '1.0.0']
['5', 4, '1.0.0']
['25', 3, '2.0.0']
['VERSION_CODES.JELLY_BEAN_MR1', 3, '2.0.0']
['Build.VERSION_CODES.R', 3, '2.0.0']
['Build.VERSION_CODES.ICE_CREAM_SANDWICH_MR1', 3, '1.0.0']
['Build.VERSION_CODES.HONEYCOMB_MR2', 3, '1.0.0']
['13', 3, '2.0.0']
['FocAndroid.SAF_MIN_SDK', 3, '2.0.0']
['Build.VERSION_CODES.LOLLIPOP_MR1', 3, '1.0.0']
['7', 3, '1.0.0']
['28', 3, '1.0.0']
['android.os.Build.VERSION_CODES.JELLY_BEAN_MR2', 2, '1.0.0']
['15', 2, '1.0.0']
['Build.VERSION_CODES.Q', 1, '1.0.0']
['Build.VERSION_CODES.CUPCAKE', 1, '1.0.0']
['29', 1, '2.0.0']
['22', 1, '2.0.0']
['VERSION_CODES.ICE_CREAM_SANDWICH', 1, '2.0.0']
['VERSION_CODES.GINGERBREAD', 1, '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR2', 1, '1.0.0']
['Build.VERSION_CODES.LOLLIPOP', 179, 'AdrienPoupa-VinylMusicPlayer', '1.0.0']
['Build.VERSION_CODES.HONEYCOMB', 129, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['Build.VERSION_CODES.M', 89, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['21', 74, 'blockstream-green_android', '1.0.0']
['Build.VERSION_CODES.KITKAT', 68, 'AdrienPoupa-VinylMusicPlayer', '1.0.0']
['Build.VERSION_CODES.N', 53, 'ankidroid-Anki_Android', '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN', 50, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
['Build.VERSION_CODES.O', 44, 'ankidroid-Anki_Android', '1.0.0']
['Build.VERSION_CODES.N_MR1', 33, 'AdrienPoupa-VinylMusicPlayer', '1.0.0']
['11', 28, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR1', 28, 'AdrienPoupa-VinylMusicPlayer', '1.0.0']
['23', 27, 'ankidroid-Anki_Android', '1.0.0']
['9', 26, 'barbeau-gpstest', '1.0.0']
['19', 25, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
['14', 19, 'chandevel-Clover', '1.0.0']
['16', 18, 'Dar9586-NClientV2', '1.0.0']
['VERSION_CODES.HONEYCOMB', 16, 'deltachat-deltachat_android', '1.0.0']
['Build.VERSION_CODES.ICE_CREAM_SANDWICH', 15, 'AntennaPod-AntennaPod', '2.0.0']
['Build.VERSION_CODES.GINGERBREAD', 14, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['24', 12, 'ankidroid-Anki_Android', '1.0.0']
['8', 11, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR2', 10, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['17', 10, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['VERSION_CODES.HONEYCOMB_MR1', 8, 'deltachat-deltachat_android', '1.0.0']
['Build.VERSION_CODES.FROYO', 7, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['26', 7, 'ankidroid-Anki_Android', '1.0.0']
['Build.VERSION_CODES.P', 6, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['android.os.Build.VERSION_CODES.M', 5, 'MarcusWolschon-osmeditor4android', '1.0.0']
['VERSION_CODES.LOLLIPOP', 5, 'deltachat-deltachat_android', '1.0.0']
['Build.VERSION_CODES.GINGERBREAD_MR1', 5, 'daneren2005-Subsonic', '1.0.0']
['12', 5, 'connectbot-connectbot', '1.0.0']
['Build.VERSION_CODES.ECLAIR', 5, 'citiususc-calendula', '1.0.0']
['3', 5, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
