['Build.VERSION_CODES.LOLLIPOP', 94, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['Build.VERSION_CODES.HONEYCOMB', 61, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['Build.VERSION_CODES.M', 47, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['21', 41, 'blockstream-green_android', '2.0.0']
['Build.VERSION_CODES.KITKAT', 38, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['Build.VERSION_CODES.N', 30, 'ankidroid-Anki_Android', '2.0.0']
['Build.VERSION_CODES.O', 29, 'ankidroid-Anki_Android', '2.0.0']
['Build.VERSION_CODES.JELLY_BEAN', 27, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['Build.VERSION_CODES.N_MR1', 16, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['VERSION_CODES.HONEYCOMB', 15, 'deltachat-deltachat_android', '2.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR1', 15, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['23', 14, 'ankidroid-Anki_Android', '2.0.0']
['11', 12, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['19', 11, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['14', 9, 'daneren2005-Subsonic', '2.0.0']
['9', 9, 'barbeau-gpstest', '2.0.0']
['16', 8, 'deltachat-deltachat_android', '2.0.0']
['Build.VERSION_CODES.ICE_CREAM_SANDWICH', 8, 'AntennaPod-AntennaPod', '2.0.0']
['24', 7, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['17', 6, 'AsteroidOS-AsteroidOSSync', '2.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR2', 5, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['VERSION_CODES.LOLLIPOP', 4, 'deltachat-deltachat_android', '2.0.0']
['VERSION_CODES.HONEYCOMB_MR1', 4, 'deltachat-deltachat_android', '2.0.0']
['Build.VERSION_CODES.P', 4, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['Build.VERSION_CODES.GINGERBREAD', 4, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['Build.VERSION_CODES.FROYO', 4, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['26', 4, 'ankidroid-Anki_Android', '2.0.0']
['VERSION_CODES.JELLY_BEAN_MR1', 3, 'mtotschnig-MyExpenses', '2.0.0']
['android.os.Build.VERSION_CODES.M', 3, 'MarcusWolschon-osmeditor4android', '2.0.0']
['12', 3, 'connectbot-connectbot', '2.0.0']
['Build.VERSION_CODES.ECLAIR', 3, 'citiususc-calendula', '2.0.0']
['FocAndroid.SAF_MIN_SDK', 3, 'bailuk-AAT', '2.0.0']
['android.os.Build.VERSION_CODES.JELLY_BEAN_MR1', 2, 'wiglenet-wigle_wifi_wardriving', '2.0.0']
['25', 2, 'segler_alex-RadioDroid', '2.0.0']
['Build.VERSION_CODES.HONEYCOMB_MR1', 2, 'jackpal-Android_Terminal_Emulator', '2.0.0']
['VERSION_CODES.KITKAT', 2, 'deltachat-deltachat_android', '2.0.0']
['Build.VERSION_CODES.R', 2, 'Dar9586-NClientV2', '2.0.0']
['8', 2, 'daneren2005-Subsonic', '2.0.0']
['18', 2, 'daneren2005-Subsonic', '2.0.0']
['Build.VERSION_CODES.GINGERBREAD_MR1', 2, 'daneren2005-Subsonic', '2.0.0']
['13', 2, 'bailuk-AAT', '2.0.0']
['Build.VERSION_CODES.LOLLIPOP_MR1', 2, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['3', 2, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['28', 2, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['android.os.Build.VERSION_CODES.JELLY_BEAN_MR2', 1, 'wiglenet-wigle_wifi_wardriving', '2.0.0']
['Build.VERSION_CODES.HONEYCOMB_MR2', 1, 'nerzhul-ncsms_android', '2.0.0']
['29', 1, 'MuntashirAkon-AppManager', '2.0.0']
['22', 1, 'MuntashirAkon-AppManager', '2.0.0']
['VERSION_CODES.ICE_CREAM_SANDWICH', 1, 'mtotschnig-MyExpenses', '2.0.0']
['15', 1, 'forrestguice-SuntimesCalendars', '2.0.0']
['Build.VERSION_CODES.ICE_CREAM_SANDWICH_MR1', 1, 'daneren2005-Subsonic', '2.0.0']
['5', 1, 'AsteroidOS-AsteroidOSSync', '2.0.0']
['7', 1, 'AnySoftKeyboard-AnySoftKeyboard', '2.0.0']
['Build.VERSION_CODES.N_MR1', 1, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
